x,y
6476907,1451684
6476907,1451684
6476907,1451684
6476907,1451684
6476907,1451684
6484900,1455914
6484926,1455889
6488392,1458285
6476250,1504025
6475631,1496854
6475645,1496863
6494284,1534535
6494286,1534524
6496069,1533510
6489710,1538990
6489710,1538990
6489714,1538977
6489650,1539100
6487034,1538244
6488210,1538482
6486658,1537221
6491550,1540250
6491611,1540097
6487100,1545900
6487164,1544957
6487000,1545250
6487000,1545250
6489494,1531837
6489494,1531837
6486130,1540661
6486125,1540663
6486122,1540667
6486920,1538800
6484317,1466583
6484310,1466570
6484310,1466570
6484310,1466570
6483355,1466523
6481320,1466500
6478007,1461278
6480399,1470301
6480190,1468479
6498895,1521347
6504350,1523525
6504148,1523406
6501000,1521000
6501000,1521000
6501000,1521000
6473782,1437879
6473300,1437450
6469778,1435890
6469778,1435890
6469778,1435890
6469778,1435890
6469778,1435890
6469778,1435890
6469778,1435890
6469700,1435900
6479500,1441420
6483684,1477102
6478440,1459525
6474962,1460543
6472382,1453166
6472380,1453180
6472366,1453172
6458981,1455471
6458947,1455421
6458982,1455477
6458980,1455464
6459000,1458000
6473183,1448098
6473183,1448098
6473183,1448098
6473183,1448098
6473330,1448100
6472647,1448200
6471010,1458710
6471010,1458710
6471010,1458710
6471020,1458705
6471010,1458710
6471010,1458710
6471010,1458710
6471010,1458710
6471010,1458710
6471010,1458710
6469825,1456586
6468075,1457700
6468030,1457776
6474435,1462671
6465388,1449177
6465005,1444816
6465555,1447602
6465408,1447694
6467557,1448003
6458500,1459100
6458336,1458690
6483537,1536795
6467989,1537696
6482765,1532250
6481000,1483900
6481155,1483886
6479830,1485801
6477106,1483501
6477115,1483500
6477091,1483552
6477086,1483544
6473600,1481900
6475123,1481268
6471744,1495270
6472600,1493800
6477583,1489920
6469254,1485767
6469373,1488064
6469116,1488421
6472028,1485402
6471995,1485402
6472030,1485400
6472030,1485400
6471998,1485416
6472911,1485641
6472028,1485402
6472750,1485500
6431826,1495068
6432200,1494800
6421800,1509000
6476490,1489470
6476475,1489425
6476300,1489000
6463087,1435393
6463071,1435396
6459092,1434904
6467923,1447212
6467920,1447201
6463973,1439596
6465095,1443052
6467230,1444472
6462153,1432559
6462153,1432559
6462153,1432559
6457880,1435653
6457880,1435653
6456875,1432388
6495609,1529714
6495621,1529712
6492607,1531384
6492599,1531367
6492700,1531015
6492623,1531354
6492636,1531346
6491382,1529696
6493274,1527057
6493277,1527049
6495161,1525603
6489698,1528382
6489706,1528378
6489692,1528380
6490770,1509823
6490778,1509816
6495770,1508133
6493998,1511406
6490198,1455564
6474883,1457995
6475493,1458711
6474860,1457970
6475485,1458740
6481280,1506910
6479900,1517000
6483146,1510848
6483147,1510847
6483130,1510840
6482730,1510530
6482730,1510530
6484135,1513792
6484300,1530000
6481000,1447000
6481250,1446550
6465549,1475991
6479966,1479075
6479934,1479068
6481508,1479427
6471590,1474625
6471590,1474625
6470190,1476150
6469800,1475600
6472950,1478600
6469724,1478932
6473515,1479895
6472750,1472500
6471950,1479675
6473590,1464481
6473630,1464480
6465540,1459430
6462860,1459875
6465599,1459504
6477100,1466350
6468240,1466140
6463920,1465660
6470369,1467996
6472929,1467533
6472929,1467554
6471800,1471130
6471950,1471350
6471709,1472833
6471722,1472844
6471721,1472830
6472347,1472985
6473276,1468672
6471850,1472450
6477670,1473227
6478619,1474449
6409400,1457400
6414839,1467096
6412579,1466704
6426603,1460841
6485997,1506497
6486295,1500778
6480950,1501420
6480917,1501420
6480937,1501319
6478504,1500021
6498960,1544517
6495917,1546314
6495917,1546314
6495932,1544468
6494925,1546025
6490970,1548416
6495739,1539036
6495723,1538974
6495721,1538991
6495731,1538990
6495732,1539000
6495725,1539002
6499709,1540577
6472955,1478747
6474915,1457950
6473183,1448098
6473178,1448114
6473178,1448114
6471793,1471071
6498602,1519254
6479600,1441200
6484389,1483109
6463528,1431870
6496750,1522650
6496000,1545000
6477150,1466278
6485017,1496419
6472346,1453104
6471605,1474621
6472438,1453174
6484317,1466583
6476502,1489505
6476502,1489505
6476502,1489505
6476502,1489505
6476502,1489505
6420120,1464420
6473782,1437879
6473782,1437879
6475012,1457916
6475012,1457916
6475012,1457916
6475012,1457916
6475012,1457916
6475012,1457916
6475491,1458716
6475012,1457916
6480810,1494547
6473180,1448100
6475020,1457900
6471767,1471097
6495610,1529770
6495610,1529770
6473183,1448098
6473183,1448098
6473180,1448100
6473180,1448100
6467340,1495496
6483151,1510840
6495717,1538980
6474860,1457970
6484450,1529900
6475012,1457916
